Name of restaurant,City,Countty Code,Day of Week,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
4Fourteen,Surry Hills,Surry Hills,1,12,00,15,00
4Fourteen,Surry Hills,Surry Hills,1,18,00,00,00
4Fourteen,Surry Hills,Surry Hills,2,12,00,15,00
4Fourteen,Surry Hills,Surry Hills,2,18,00,00,00
4Fourteen,Surry Hills,Surry Hills,3,12,00,15,00
4Fourteen,Surry Hills,Surry Hills,3,18,00,00,00
4Fourteen,Surry Hills,Surry Hills,4,12,00,15,00
4Fourteen,Surry Hills,Surry Hills,4,18,00,00,00
4Fourteen,Surry Hills,Surry Hills,5,12,00,15,00
4Fourteen,Surry Hills,Surry Hills,5,18,00,00,00
4Fourteen,Surry Hills,Surry Hills,6,12,00,18,00
5 & Dime Bagels,Melbourne,Melbourne,0,07,00,14,30
5 & Dime Bagels,Melbourne,Melbourne,1,07,00,14,30
5 & Dime Bagels,Melbourne,Melbourne,2,07,00,14,30
5 & Dime Bagels,Melbourne,Melbourne,3,07,00,14,30
5 & Dime Bagels,Melbourne,Melbourne,4,07,00,14,30
5 Boroughs,Brisbane,Brisbane,0,11,00,21,00
5 Boroughs,Brisbane,Brisbane,1,11,00,21,00
5 Boroughs,Brisbane,Brisbane,2,11,00,21,00
5 Boroughs,Brisbane,Brisbane,3,11,00,21,00
5 Boroughs,Brisbane,Brisbane,4,11,00,22,00
5 Boroughs,Brisbane,Brisbane,5,11,00,22,00
5 Boroughs,Brisbane,Brisbane,6,11,00,21,00
5 Rabanitos Restaurante and Taqueria,Chicago,Chicago,1,11,00,21,00
5 Rabanitos Restaurante and Taqueria,Chicago,Chicago,2,11,00,21,00
5 Rabanitos Restaurante and Taqueria,Chicago,Chicago,3,11,00,21,00
5 Rabanitos Restaurante and Taqueria,Chicago,Chicago,4,11,00,22,00
5 Rabanitos Restaurante and Taqueria,Chicago,Chicago,5,09,00,22,00
5 Rabanitos Restaurante and Taqueria,Chicago,Chicago,6,09,00,21,00
5 Spices House,Boston,Boston,0,11,00,23,00
5 Spices House,Boston,Boston,1,11,00,23,00
5 Spices House,Boston,Boston,2,11,00,23,00
5 Spices House,Boston,Boston,3,11,00,23,00
5 Spices House,Boston,Boston,4,11,00,00,00
5 Spices House,Boston,Boston,5,11,00,00,00
5 Spices House,Boston,Boston,6,11,00,00,00
5 Spot,Seattle,Seattle,0,08,00,23,00
5 Spot,Seattle,Seattle,1,08,00,23,00
5 Spot,Seattle,Seattle,2,08,00,23,00
5 Spot,Seattle,Seattle,3,08,00,23,00
5 Spot,Seattle,Seattle,4,08,00,23,00
5 Spot,Seattle,Seattle,5,08,00,15,00
5 Spot,Seattle,Seattle,5,17,00,00,00
5 Spot,Seattle,Seattle,6,08,00,15,00
5 Spot,Seattle,Seattle,6,17,00,00,00
